title_id,genre_id
tm118256,4
tm118256,1
tm118256,6
tm64729,3
tm64729,5
tm314602,14
tm314602,1
tm314602,6
tm25389,6
tm25389,14
tm25389,1
tm25389,4
tm42397,14
tm42397,1
tm42397,3
tm42397,9
tm210754,6
tm210754,3
tm449775,6
tm449775,1
ts4,6
ts4,17
ts4,4
ts9,1
ts9,6
ts9,15
ts9,17
ts9,11
ts26091,4
ts26091,5
ts26091,6
ts11,6
ts11,14
ts11,7
ts21469,6
ts21469,14
ts288536,13
ts288536,7
ts6495,17
ts6495,4
ts6495,6
ts22337,1
ts22337,6
ts22337,4
ts22337,17
ts22337,3
ts8308,3
ts22011,6
ts22011,8
ts21465,15
ts21465,17
ts21465,6
ts21465,9
ts21465,11
tm33545,3
tm33545,6
tm33545,14
tm172683,17
tm172683,1
tm172683,15
ts17156,3
ts20573,3
ts20573,7
ts12724,3
ts12724,16
ts3371,15
ts3371,8
ts3371,9
ts3371,2
ts3371,1
tm92641,15
tm92641,12
tm92641,17
tm92641,1
tm102740,4
tm102740,1
tm102740,3
tm87484,9
tm87484,2
tm87484,1
tm87484,3
tm87484,8
tm87484,6
ts20604,6
ts20604,16
tm39030,17
tm39030,1
tm39030,7
tm78592,17
tm78592,4
tm78592,6
ts21511,15
ts21511,2
ts21511,6
ts21511,9
ts21511,12
ts21511,3
ts21511,8
ts19036,15
ts19036,8
ts19036,9
ts19036,2
ts19036,3
tm116324,1
tm116324,3
tm116324,5
ts32186,1
ts32186,6
ts32186,17
ts32186,2
ts32186,3
ts32186,9
ts32186,8
ts32186,15
ts11313,15
ts11313,2
ts11313,4
ts11313,6
ts11313,9
ts11313,17
tm34310,3
tm34310,7
ts21247,15
ts21247,6
ts21247,17
ts21247,9
ts21247,11
ts21247,14
tm160815,9
tm160815,3
tm160815,8
tm78671,17
tm78671,4
tm89036,3
tm86803,6
tm105329,17
tm105329,5
tm105329,4
tm105329,6
ts20305,15
ts20305,3
ts20305,2
ts20305,1
ts20305,9
ts20305,17
tm35463,6
tm35463,4
tm84371,17
tm84371,1
tm84371,6
tm139658,6
tm139658,9
tm139658,14
tm79442,17
tm79442,1
tm131038,4
tm131038,6
tm131038,10
tm131038,1
tm131038,7
ts2230,13
tm154187,4
tm154187,1
tm154187,17
tm133767,6
tm133767,3
tm133767,14
tm88738,6
tm88738,14
ts17942,3
ts17942,12
tm148270,14
tm148270,6
tm148270,3
tm93055,3
tm93055,6
tm93055,7
tm133374,6
tm133374,16
tm26897,17
tm26897,1
tm109304,11
tm109304,7
ts22267,3
ts22267,4
tm76066,6
tm90190,19
tm90190,6
tm997728,1
tm997728,17
tm997728,15
tm29737,17
tm29737,1
tm29737,18
tm29737,7
tm84906,9
tm84906,14
tm84906,8
ts6644,6
ts6644,7
tm142086,6
tm142086,10
tm142086,18
