title_id,country_id
tm62210,114
tm167232,77
tm167232,75
tm167232,57
ts34151,114
tm178395,233
ts11151,114
tm173195,233
tm173195,100
tm173195,110
ts9246,114
ts20648,114
ts19779,233
tm175346,233
tm160371,233
ts7708,114
ts27586,114
ts18551,77
ts76614,114
tm174256,38
tm174256,233
ts34740,233
ts34740,38
ts22249,114
tm165995,233
tm168921,233
tm178323,233
tm106278,233
ts36647,59
tm72845,233
ts34921,114
tm59590,114
ts35426,77
tm174683,77
tm174683,233
ts27835,233
tm182586,122
tm39313,233
ts45996,13
ts55532,233
tm69386,77
tm38064,114
ts34737,157
ts21081,49
tm28171,233
tm161904,233
tm56296,233
tm171292,233
tm171292,38
tm183039,233
tm160361,233
tm34331,233
tm182125,105
tm238681,233
tm72251,233
tm72251,77
tm183547,38
tm183547,233
tm53034,233
tm174190,233
tm164353,105
ts81858,122
tm165712,77
ts158608,247
ts215037,233
tm68436,105
ts39093,233
ts26776,114
tm52062,233
tm176111,48
tm176111,95
ts33349,122
tm31739,233
tm170395,233
tm170395,247
tm170395,57
tm177258,105
tm177044,114
tm49451,233
ts191698,77
tm54780,114
tm176128,95
tm177958,105
tm40860,233
ts19165,233
tm63368,183
ts58528,233
tm183037,57
tm183037,105
tm183176,13
tm37175,233
tm181856,233
tm178106,105
tm175909,105
tm74031,105
tm57610,105
ts27875,191
ts6879,46
tm59289,105
tm53829,233
tm47171,105
tm65765,233
tm70528,247
tm161804,225
tm169128,233
ts39112,38
ts60663,198
tm630933,233
tm174518,105
tm180532,105
tm35700,105
tm67444,233
tm57382,13
tm172883,105
tm164090,233
tm71992,105
tm59372,105
tm160021,48
tm160021,95
tm54371,105
tm38013,105
tm39606,105
tm53395,233
tm66725,105
ts167724,77
tm48579,233
tm159593,105
tm34746,105
tm167241,105
tm161632,233
tm50798,75
tm31948,122
tm179451,105
tm162592,65
tm37573,95
ts41114,198
tm30278,105
tm33601,999
tm48239,105
tm56734,77
tm56734,164
tm166810,105
tm172353,105
tm169053,105
tm166740,105
tm34142,105
tm168751,127
tm38331,177
ts32460,228
tm44615,105
tm182026,105
ts32561,228
tm529723,105
tm60213,177
tm70652,105
tm42306,105
tm53360,105
tm69915,105
tm29400,177
ts69208,228
tm946846,2
tm946846,233
tm946846,127
tm339197,105
tm34646,177
ts99814,193
tm200838,999
tm481620,105
tm57256,105
ts44064,228
tm172211,101
ts128422,193
tm165932,105
tm172504,166
tm172504,233
tm172504,2
tm172504,183
tm224577,164
tm1077038,105
tm159623,177
ts39465,198
tm51412,233
tm235979,105
tm361958,164
ts37864,48
tm181366,127
ts20837,233
ts20110,77
ts20682,114
ts1639,233
ts20351,233
tm140389,75
tm140389,77
tm140389,233
ts11188,233
tm151663,233
ts20292,233
ts16045,233
tm169422,233
tm169719,233
tm140877,233
tm140877,77
tm171042,233
ts8146,233
tm148147,38
tm148147,233
ts21374,233
tm183523,233
tm176864,233
tm176864,57
tm176864,77
ts20248,233
tm134967,233
tm143227,233
tm160621,233
tm180572,233
ts14583,233
ts6,233
ts20108,233
tm148671,233
tm182429,233
tm153284,233
ts20823,233
ts20824,233
ts21367,233
tm151807,233
tm145655,233
ts20280,233
ts35682,13
ts20261,233
tm161525,38
tm161525,46
tm161525,233
tm175843,233
ts34950,114
tm181270,233
ts20791,233
ts20288,233
tm168400,233
ts2727,77
tm237143,233
tm176630,233
ts32218,233
ts20097,233
tm178712,233
ts314002,114
ts20281,233
ts20014,114
tm187979,233
ts35570,77
ts32271,103
ts4213,233
tm161282,233
tm165521,233
tm165521,77
tm184608,233
tm144046,233
ts20917,233
ts35282,38
tm161029,233
tm143474,233
tm140342,13
tm140342,233
tm141648,233
tm141648,77
tm141648,48
tm141648,38
ts20336,68
ts36836,233
tm142856,233
ts22426,114
tm181081,77
tm181081,13
tm181081,43
ts42168,225
ts98110,233
tm178211,233
tm144121,233
ts22383,75
ts22383,233
tm151447,77
tm151447,233
ts11794,233
ts11794,77
ts11794,38
tm154797,38
tm154797,122
ts20310,233
tm159796,38
tm159796,75
tm181533,233
ts35244,233
tm469911,12
ts82979,233
tm148976,233
tm143642,57
ts10206,38
ts20709,114
ts32060,233
tm162271,233
tm166628,233
tm171228,233
tm136601,233
tm143757,233
tm143372,114
tm71148,233
tm161562,233
tm161562,59
tm151716,233
ts22445,122
tm180599,233
ts20790,233
tm171965,233
tm185208,233
tm185208,31
ts20883,233
tm167944,114
tm149038,233
ts33590,233
tm159362,233
ts21368,225
ts2161,70
tm172710,233
tm157085,77
tm174289,233
tm187390,77
tm187390,233
tm187390,65
tm171929,233
tm147913,105
tm170919,10
tm170919,68
tm180643,38
tm180643,233
ts34066,13
tm152843,38
tm177223,233
tm152273,114
tm2269,189
tm138431,40
tm138431,77
tm152904,233
tm35895,31
tm176481,105
ts53641,233
ts37187,233
tm199408,77
ts58137,233
ts58137,38
ts58137,114
ts75104,179
tm144021,233
ts521,233
ts33840,114
tm168685,122
tm182275,183
ts88394,233
ts58010,233
tm182969,225
tm148910,105
tm143363,105
tm139617,233
ts83239,191
ts16117,225
tm158671,233
tm165504,48
tm165504,95
tm148662,238
tm148662,10
ts154625,75
ts76743,114
tm158980,105
tm148597,77
ts57744,122
tm145791,122
tm155291,105
tm156811,105
tm150033,114
ts75833,191
tm180802,233
ts3799,233
ts35628,38
ts20781,122
tm151210,233
tm149578,233
tm182534,233
tm360904,233
tm186054,105
tm235553,57
tm147518,31
tm183706,31
tm178513,105
tm182322,105
tm236725,77
tm153055,233
tm142630,105
tm185797,105
tm154729,105
tm148457,105
tm145627,105
tm158302,105
tm140334,233
ts121189,105
tm186161,105
ts34074,122
tm209037,46
tm348393,164
tm151927,105
ts122290,105
tm169669,177
tm175812,105
tm181550,105
tm228574,38
tm149914,233
tm145216,225
tm149747,157
tm140911,233
tm158692,105
tm137379,233
tm587320,68
tm160034,105
tm158436,233
tm172027,225
tm146657,103
tm146657,167
